filename,width,height,xmin,ymin,xmax,ymax,class
./Dataset/Images/hand_388.jpg,1581,806,44,137,716,632,person_phone_hand
./Dataset/Images/head_332_1.jpg,390,280,22,21,222,254,person_phone_head
./Dataset/Images/Train_UCP_000389.jpg,1184,666,598,3,1106,624,person_phone_hand
./Dataset/Images/head_036_1.jpg,390,280,65,25,306,257,person_phone_head
./Dataset/Images/0049f1aa618a9516.jpg,1024,683,0,0,180,682,Person
./Dataset/Images/0006487596052ff0.jpg,1024,683,184,345,1022,682,Person
./Dataset/Images/000243216b5a8e54.jpg,768,1024,90,344,604,1023,Person
./Dataset/Images/Val_TCP_st_000009.jpg,1200,800,193,274,535,675,person_phone_head
./Dataset/Images/head_075.jpg,450,381,73,51,295,346,person_phone_head
./Dataset/Images/head_328.jpg,1300,957,180,107,731,750,person_phone_head
./Dataset/Images/head_586_1.jpg,528,280,247,4,523,256,person_phone_head
./Dataset/Images/head_322_1.jpg,376,280,86,28,286,252,person_phone_head
./Dataset/Images/Train_TCP_000080.jpg,450,328,31,24,375,328,person_phone_head
./Dataset/Images/hand_1011_1.jpg,390,280,116,28,304,251,person_phone_hand
./Dataset/Images/Train_UCP_000354.jpg,334,500,124,39,230,276,person_phone_hand
./Dataset/Images/Train_UCP_000425.jpg,2000,1000,369,18,1980,1000,person_phone_hand
./Dataset/Images/head_046.jpg,866,1390,196,318,866,1032,person_phone_head
./Dataset/Images/00ecdf774b6268c6.jpg,1024,640,28,0,900,639,Person
./Dataset/Images/00ddedffd4b2e308.jpg,1024,768,584,124,815,508,Person
./Dataset/Images/000a72372756f53b.jpg,1024,680,61,18,535,674,Person
./Dataset/Images/Train_TCP_000281.jpg,1600,1068,460,4,1524,1068,person_phone_head
./Dataset/Images/00ac72bc72a5cd84.jpg,1024,1020,408,126,561,839,Person
./Dataset/Images/head_495_1.jpg,228,280,27,36,215,258,person_phone_head
./Dataset/Images/0185f8322c3900c2.jpg,1024,680,364,42,697,679,Person
./Dataset/Images/head_050.jpg,1300,996,65,13,1212,990,person_phone_head
./Dataset/Images/head_661_1.jpg,390,280,94,21,239,214,person_phone_head
./Dataset/Images/0140297debf227db.jpg,683,1024,83,600,125,640,Person
./Dataset/Images/hand_052.jpg,1600,1156,491,230,1175,1065,person_phone_hand
./Dataset/Images/head_373.jpg,450,300,148,52,371,299,person_phone_head
./Dataset/Images/Val_UCP_000485.jpg,1000,667,136,70,579,644,person_phone_hand
./Dataset/Images/011786fb4a301910.jpg,1024,683,414,202,570,442,Person
./Dataset/Images/022fd16f8470424c.jpg,1024,768,744,90,972,767,Person
./Dataset/Images/01f12372c775a3fb.jpg,768,1024,279,672,317,773,Person
./Dataset/Images/0238c6d8553e01d1.jpg,1024,938,527,123,1022,936,Person
./Dataset/Images/00f0efddf7cc2f15.jpg,803,1024,190,204,609,880,Person
./Dataset/Images/head_512_1.jpg,390,280,50,12,384,258,person_phone_head
./Dataset/Images/hand_1039_1.jpg,390,280,99,21,261,254,person_phone_hand
./Dataset/Images/hand_099.jpg,816,520,677,5,816,395,person_phone_hand
./Dataset/Images/00adcecfbc5dcbae.jpg,1024,679,856,213,936,447,Person
./Dataset/Images/head_088.jpg,1300,866,198,215,880,813,person_phone_head
./Dataset/Images/01475aab01d4f22f.jpg,972,768,28,40,971,767,Person
./Dataset/Images/0085a03f4a2b199f.jpg,1024,819,6,568,87,755,Person
./Dataset/Images/0085a03f4a2b199f.jpg,1024,819,365,560,424,739,Person
./Dataset/Images/hand_184_1.jpg,390,280,24,12,296,255,person_phone_hand
./Dataset/Images/head_017.jpg,1300,956,18,11,1198,876,person_phone_head
./Dataset/Images/hand_129.jpg,653,339,106,2,392,339,person_phone_hand
./Dataset/Images/hand_1037_1.jpg,390,280,123,31,276,235,person_phone_hand
./Dataset/Images/hand_045.jpg,800,533,335,25,713,533,person_phone_hand
./Dataset/Images/006e631cd2df34cc.jpg,768,1024,21,83,454,1023,Person
./Dataset/Images/hand_480_1.jpg,390,280,53,26,233,252,person_phone_hand
./Dataset/Images/013a6d5aad7761b8.jpg,1024,683,48,80,92,143,Person
./Dataset/Images/hand_451.jpg,626,417,76,1,616,412,person_phone_hand
./Dataset/Images/022e43a11a876f8a.jpg,1024,682,611,241,787,648,Person
./Dataset/Images/00ecdf774b6268c6.jpg,1024,640,28,0,900,639,Person
./Dataset/Images/00bcd8de86620932.jpg,1024,682,610,301,1020,681,Person
./Dataset/Images/hand_107.jpg,4800,3200,2812,805,3377,1680,person_phone_hand
./Dataset/Images/01c10ae194f28d16.jpg,1024,868,280,255,974,790,Person
./Dataset/Images/head_358_1.jpg,390,280,13,16,265,254,person_phone_head
./Dataset/Images/004e97b29e423be6.jpg,1024,768,769,295,1023,638,Person
./Dataset/Images/head_163_1.jpg,390,280,155,32,385,265,person_phone_head
./Dataset/Images/head_508.jpg,400,610,120,12,307,265,person_phone_head
./Dataset/Images/004e97b29e423be6.jpg,1024,768,0,156,161,655,Person
./Dataset/Images/024ffedb8330a0e2.jpg,1024,768,417,119,959,768,Person
./Dataset/Images/hand_1068_1.jpg,390,280,128,26,293,242,person_phone_hand
./Dataset/Images/Train_UCP_000250.jpg,1600,1164,140,2,1590,1019,person_phone_hand
./Dataset/Images/000e003030ba73ce.jpg,1024,680,413,190,586,389,Person
./Dataset/Images/hand_334_1.jpg,390,280,119,38,259,233,person_phone_hand
./Dataset/Images/Train_UCP_000328.jpg,1077,1390,104,216,955,984,person_phone_hand
./Dataset/Images/Train_TCP_000084.jpg,543,362,165,20,468,362,person_phone_head
./Dataset/Images/0049f1aa618a9516.jpg,1024,683,259,122,563,682,Person
./Dataset/Images/hand_134.jpg,1500,1120,557,40,1349,1001,person_phone_hand
./Dataset/Images/Val_TCP_000458.jpg,334,500,112,31,257,347,person_phone_head
./Dataset/Images/014dc3e9314d96de.jpg,1024,683,482,169,645,326,Person
./Dataset/Images/013a6d5aad7761b8.jpg,1024,683,63,110,115,260,Person
./Dataset/Images/head_114.jpg,859,1390,29,86,754,1024,person_phone_head
./Dataset/Images/Train_UCP_000327.jpg,1300,971,282,94,1143,917,person_phone_hand
./Dataset/Images/01651ab1697f878e.jpg,917,1024,544,167,876,1006,Person
./Dataset/Images/Train_UCP_000405.jpg,1300,953,483,28,1257,857,person_phone_hand
./Dataset/Images/Train_TCP_000315.jpg,421,470,33,1,382,429,person_phone_head
./Dataset/Images/000e5e7f1fb1d3cd.jpg,663,1024,214,376,615,937,Person
./Dataset/Images/head_339.jpg,1300,957,547,30,1269,870,person_phone_head
./Dataset/Images/hand_1029_1.jpg,371,280,154,16,355,257,person_phone_hand
./Dataset/Images/head_511.jpg,400,434,121,32,318,329,person_phone_head
./Dataset/Images/Val_UCP_st_000050.jpg,1067,1700,225,94,830,773,person_phone_hand
./Dataset/Images/017a7f423eec6850.jpg,1024,681,0,39,423,680,Person
./Dataset/Images/Train_TCP_000176.jpg,450,320,38,42,229,285,person_phone_head
./Dataset/Images/Val_TCP_st_000019.jpg,1600,989,741,55,949,413,person_phone_head
./Dataset/Images/01b3057c5261f6f7.jpg,1024,768,110,141,501,763,Person
./Dataset/Images/hand_054_1.jpg,148,280,29,17,116,142,person_phone_hand
./Dataset/Images/head_319.jpg,1500,1379,125,105,500,655,person_phone_head
./Dataset/Images/003d580feae883fb.jpg,682,1024,400,0,598,503,Person
./Dataset/Images/hand_397.jpg,5200,3467,434,1,4912,3396,person_phone_hand
./Dataset/Images/head_097.jpg,626,417,383,41,606,410,person_phone_head
./Dataset/Images/hand_249.jpg,852,480,494,133,852,472,person_phone_hand
./Dataset/Images/Train_UCP_000325.jpg,1300,825,220,4,1297,733,person_phone_hand
./Dataset/Images/hand_612_1.jpg,390,280,121,27,288,249,person_phone_hand
./Dataset/Images/head_123_1.jpg,390,280,91,1,363,262,person_phone_head
./Dataset/Images/hand_286_1.jpg,250,167,43,0,194,163,person_phone_hand
./Dataset/Images/head_124.jpg,1049,699,339,7,1040,686,person_phone_head
./Dataset/Images/head_078_1.jpg,462,280,102,12,375,257,person_phone_head
./Dataset/Images/015cd5353344d722.jpg,685,1024,4,100,436,982,Person
./Dataset/Images/head_336.jpg,1300,951,198,130,1200,815,person_phone_head
./Dataset/Images/head_362_1.jpg,390,280,99,0,364,261,person_phone_head
./Dataset/Images/head_141_1.jpg,390,280,34,0,337,256,person_phone_head
./Dataset/Images/head_367_1.jpg,260,280,27,1,256,255,person_phone_head
./Dataset/Images/head_449.jpg,400,425,65,35,290,387,person_phone_head
./Dataset/Images/hand_282_1.jpg,390,280,109,29,306,240,person_phone_hand
./Dataset/Images/0002a3c01c926a49.jpg,768,1024,0,577,399,1023,Person
./Dataset/Images/01f12372c775a3fb.jpg,768,1024,615,592,651,673,Person
./Dataset/Images/0085a03f4a2b199f.jpg,1024,819,365,560,424,739,Person
./Dataset/Images/hand_175_1.jpg,390,280,29,24,305,249,person_phone_hand
./Dataset/Images/Train_TCP_000189.jpg,1200,801,216,117,699,800,person_phone_head
./Dataset/Images/Train_TCP_000002.jpg,1300,1045,408,54,1170,994,person_phone_head
./Dataset/Images/head_575_1.jpg,381,280,28,16,258,244,person_phone_head
./Dataset/Images/Val_TCP_st_000029.jpg,318,500,80,87,214,264,person_phone_head
./Dataset/Images/head_101_1.jpg,390,280,102,0,382,255,person_phone_head
./Dataset/Images/hand_481.jpg,600,900,31,34,524,781,person_phone_hand
./Dataset/Images/01f12372c775a3fb.jpg,768,1024,641,561,682,637,Person
./Dataset/Images/003f718ccc51c843.jpg,1024,768,475,361,816,766,Person
./Dataset/Images/022e43a11a876f8a.jpg,1024,682,385,220,492,592,Person
./Dataset/Images/hand_006_1.jpg,173,280,41,28,138,137,person_phone_hand
./Dataset/Images/hand_661_1.jpg,390,280,91,12,290,261,person_phone_hand
./Dataset/Images/0213ec2d85c2b796.jpg,1024,683,307,68,648,601,Person
./Dataset/Images/head_767_1.jpg,390,280,175,4,387,250,person_phone_head
./Dataset/Images/hand_492.jpg,450,250,39,8,259,249,person_phone_hand
./Dataset/Images/013a6d5aad7761b8.jpg,1024,683,789,83,1023,505,Person
./Dataset/Images/head_344.jpg,1500,1120,503,105,1312,1027,person_phone_head
./Dataset/Images/head_428_1.jpg,390,280,132,15,387,260,person_phone_head
./Dataset/Images/hand_311.jpg,350,500,41,62,313,382,person_phone_hand
./Dataset/Images/01d54a8024611416.jpg,1024,683,554,0,609,107,Person
./Dataset/Images/hand_055.jpg,1200,800,517,141,929,667,person_phone_hand
./Dataset/Images/hand_465.jpg,300,470,76,29,211,219,person_phone_hand
./Dataset/Images/001e5022bb22230c.jpg,1024,1024,799,773,945,988,Person
./Dataset/Images/head_523_1.jpg,390,280,131,8,312,254,person_phone_head
./Dataset/Images/013a6d5aad7761b8.jpg,1024,683,7,388,264,682,Person
./Dataset/Images/Val_UCP_000464.jpg,1120,770,350,47,1040,756,person_phone_hand
./Dataset/Images/hand_388.jpg,1581,806,1236,114,1562,401,person_phone_hand
./Dataset/Images/01f93902ecc98e45.jpg,1024,680,610,370,935,679,Person
./Dataset/Images/Train_UCP_000009.jpg,400,300,110,13,225,220,person_phone_hand
./Dataset/Images/0002912682d64112.jpg,685,1024,0,395,284,1022,Person
./Dataset/Images/head_049_1.jpg,390,280,44,1,355,261,person_phone_head
./Dataset/Images/head_355.jpg,200,308,38,21,167,192,person_phone_head
./Dataset/Images/head_488.jpg,300,451,3,27,175,367,person_phone_head
./Dataset/Images/Train_UCP_000255.jpg,1000,667,183,1,712,656,person_phone_hand
./Dataset/Images/001a09c6d3585b52.jpg,1024,768,686,2,1021,567,Person
./Dataset/Images/0110fd09b3eb4641.jpg,1024,683,314,52,392,291,Person
./Dataset/Images/Train_UCP_000278.jpg,650,433,151,70,479,418,person_phone_hand
./Dataset/Images/01f12372c775a3fb.jpg,768,1024,564,570,600,616,Person
./Dataset/Images/Train_TCP_000180.jpg,1300,866,469,55,1262,859,person_phone_head
./Dataset/Images/head_101.jpg,337,470,39,32,286,362,person_phone_head
./Dataset/Images/hand_138_1.jpg,390,280,37,25,192,240,person_phone_hand
./Dataset/Images/0110fd09b3eb4641.jpg,1024,683,537,376,588,581,Person
./Dataset/Images/0015502eb34bdf38.jpg,1024,682,444,241,558,533,Person
./Dataset/Images/0049f1aa618a9516.jpg,1024,683,661,0,1023,682,Person
./Dataset/Images/Train_TCP_000345.jpg,500,282,123,1,290,272,person_phone_head
./Dataset/Images/hand_1030_1.jpg,352,280,101,23,257,238,person_phone_hand
./Dataset/Images/hand_488_1.jpg,390,280,102,20,280,255,person_phone_hand
./Dataset/Images/hand_345_1.jpg,390,280,192,16,365,248,person_phone_hand
./Dataset/Images/Train_UCP_000436.jpg,1500,1120,130,79,713,761,person_phone_hand
